oid,gender,role_count,birth_year,decade
4da198a8b538b73d9300dd7f,"""female""",2.0,1953,1950s
4da1fecbb538b73d9302c54e,"""male""",2.0,1923,1920s
4da198b6b538b73d9300df0a,"""male""",4.0,1961,1960s
4da198dbb538b73d9300e331,"""male""",6.0,1947,1940s
4da1ca2fb538b73d93026b7d,"""male""",3.0,1981,1980s
4e715199d707ff1637000001,"""male""",1.0,1964,1960s
4da19909b538b73d9300e92e,"""male""",2.0,1925,1920s
4da19909b538b73d9300e922,"""female""",1.0,1940,1940s
4ed4a254d707ff6bf4000004,"""male""",1.0,1943,1940s
4da1bc82b538b73d930236b2,"""female""",1.0,1952,1950s
4da1b52ab538b73d9301f40c,"""male""",1.0,1973,1970s
4da19935b538b73d9300ed4f,"""male""",3.0,1947,1940s
4da19940b538b73d9300eea4,"""female""",2.0,1955,1950s
4da1e22eb538b73d93029df6,"""female""",2.0,1966,1960s
4da1eda2b538b73d9302b184,"""male""",4.0,1978,1970s
4ed4adffd707ff6bf4000007,"""male""",2.0,1935,1930s
4da19960b538b73d9300f1de,"""female""",2.0,1960,1960s
50b81bc8d707ff3126000002,"""female""",1.0,1933,1930s
4da1996db538b73d9300f2d1,"""female""",1.0,1944,1940s
4edeb31ad707ff78300011b4,"""female""",1.0,1947,1940s
4da1997bb538b73d9300f4a2,"""male""",1.0,1924,1920s
4da1997eb538b73d9300f4e5,"""male""",2.0,1938,1930s
4da1bc43b538b73d930233bc,"""female""",6.0,1962,1960s
4e1f926c72edc24d910001c1,"""male""",2.0,1908,1900s
4da19983b538b73d9300f54f,"""female""",2.0,1951,1950s
4da1999bb538b73d9300f652,"""female""",2.0,1926,1920s
4da1999bb538b73d9300f683,"""male""",1.0,1934,1930s
4e2906bbd707ff2c0f00005a,"""male""",4.0,1945,1940s
4da199a3b538b73d9300f77e,"""male""",2.0,1900,1900s
4da1c91db538b73d930267b3,"""male""",3.0,1954,1950s
4da1997bb538b73d9300f4bd,"""female""",3.0,1918,1910s
4da199bab538b73d9300f991,"""male""",3.0,1943,1940s
4da199c5b538b73d9300fa51,"""male""",5.0,1920,1920s
4da199d0b538b73d9300fabe,"""female""",1.0,1910,1910s
4da199dcb538b73d9300fb64,"""male""",1.0,1962,1960s
4da19a00b538b73d9300ff86,"""male""",6.0,1914,1910s
4da19a03b538b73d9300ff9a,"""female""",4.0,1957,1950s
4da19a0ab538b73d93010082,"""male""",1.0,1978,1970s
4da19a25b538b73d930101b5,"""female""",3.0,1959,1950s
4da1b4f4b538b73d9301ee81,"""male""",5.0,1929,1920s
4da19a36b538b73d930103cb,"""female""",8.0,1936,1930s
4da1b5f8b538b73d9301fbeb,"""female""",4.0,1947,1940s
4da19a4bb538b73d93010552,"""male""",1.0,1930,1930s
4da19a4fb538b73d9301063b,"""female""",2.0,1956,1950s
4da19a4fb538b73d93010647,"""female""",1.0,1959,1950s
4e1f927072edc24d910001fe,"""male""",4.0,1937,1930s
4e1f927172edc24d91000202,"""female""",4.0,1954,1950s
4da19a66b538b73d930108e4,"""female""",4.0,1907,1900s
4da19a69b538b73d9301098e,"""male""",2.0,1967,1960s
4da19a2cb538b73d93010265,"""male""",1.0,1950,1950s
4da19a7ab538b73d93010b40,"""male""",3.0,1930,1930s
4da19a78b538b73d93010aa5,"""female""",1.0,1936,1930s
4e84125bd707ff70f2000062,"""male""",1.0,1933,1930s
4da19a84b538b73d93010c81,"""female""",4.0,1908,1900s
4da19a87b538b73d93010cec,"""female""",4.0,1904,1900s
5fe27b35d707ff4ae90000b5,"""male""",3.0,1950,1950s
4da19abeb538b73d9301112a,"""male""",5.0,1947,1940s
4da19acab538b73d930112cf,"""female""",4.0,1960,1960s
4da19aceb538b73d93011336,"""male""",1.0,1940,1940s
4da19ad0b538b73d9301136c,"""female""",1.0,1935,1930s
4e8d34d4d707ff06df000010,"""female""",3.0,1908,1900s
4da19adfb538b73d9301149f,"""male""",2.0,1935,1930s
4da19ae4b538b73d93011506,"""male""",1.0,1920,1920s
4da19b39b538b73d93011a38,"""male""",5.0,1975,1970s
4e55f0ffd707ff464c000006,"""male""",3.0,1954,1950s
4da1a826b538b73d9301aa44,"""male""",1.0,1956,1950s
4da1cdaeb538b73d930273f1,"""female""",6.0,1934,1930s
4da19b56b538b73d93011d13,"""female""",5.0,1926,1920s
4da1dfbcb538b73d9302997d,"""male""",3.0,1974,1970s
4da19b6cb538b73d93011e24,"""female""",7.0,1901,1900s
4da1b664b538b73d93020290,"""female""",1.0,1952,1950s
4fe28c7fd707ff5c34000007,"""male""",3.0,1926,1920s
4da1badcb538b73d93022708,"""female""",2.0,1932,1930s
4da19b8db538b73d9301214a,"""male""",1.0,1945,1940s
4da19babb538b73d93012316,"""female""",4.0,1952,1950s
4da19babb538b73d93012308,"""female""",2.0,1965,1960s
4da19bd7b538b73d930126fd,"""male""",3.0,1953,1950s
4da19bedb538b73d930129c9,"""female""",1.0,1953,1950s
4da1b4c9b538b73d9301ea86,"""male""",4.0,1961,1960s
4da19bf7b538b73d93012a82,"""male""",5.0,1952,1950s
4da19c02b538b73d93012b55,"""female""",5.0,1926,1920s
4da1fe41b538b73d9302c16a,"""male""",2.0,1941,1940s
4da19c0db538b73d93012c36,"""male""",2.0,1956,1950s
50b826cad707ff7732000007,"""female""",1.0,1915,1910s
4da19c0eb538b73d93012c55,"""male""",2.0,1923,1920s
4edeb455d707ff783000174b,"""female""",2.0,1953,1950s
4da19c03b538b73d93012ba1,"""male""",3.0,1916,1910s
4e1ec9d972edc21f2f0001cd,"""male""",3.0,1929,1920s
4da19c20b538b73d93012df5,"""female""",8.0,1903,1900s
4da19c2bb538b73d93012f29,"""male""",6.0,1971,1970s
4da19c53b538b73d930132d2,"""male""",2.0,1910,1910s
