0,1,2,3,Year
,Aileen R Dent,"EO Farley, Esq",,1929
,Aileen R Dent,Mrs Dale,,1929
,Aileen R Dent,"E Bakewell, Esq",,1929
,Amadeus Julius Fischer,Miss K Booth,,1929
,Amadeus Julius Fischer,Miss Betty Robertson,,1929
,Amadeus Julius Fischer,Self-portrait,,1929
,Amadeus Julius Fischer,Miss Marion Brown,,1929
,Helena Nellie Govett,"James Bromilow, Esq",,1929
,Ray S Gower,Mrs CC Kent,,1929
,Ray S Gower,Miss Irma Scott Findlay,,1929
,Ray S Gower,"JJ Gower, Esq",,1929
,Gwendolyn Grant,"Major General Spencer Browne, CB, VD",,1929
,Gwendolyn Grant,"Dr WN Robertson, CBE, MB, Ch M, FACS, FCSA",,1929
,John J Hennessy,Eibhlin,,1929
,Reginald Jerrold-Nathan,Mrs Albert Littlejohn,,1929
,Reginald Jerrold-Nathan,Self-portrait,,1929
,Reginald Jerrold-Nathan,Miss Jordan,,1929
/prizes/archibald/1929/17702/,Reginald Jerrold-Nathan,Mrs Kenneth Street,,1929
,Frederick William Leist,"Fordyce Wheeler, Esq",,1929
,Frederick William Leist,Dr Murphy,,1929
/prizes/archibald/1929/19623/,John Longstaff,"The Hon WA Holman, KC",(Winner: Archibald Prize 1929),1929
,John Longstaff,Mrs Frank Albert,,1929
,Walter Halloran Lumsdaine,"Thomas Kennedy, Esq",,1929
,Herbert W McCulley,Self-portrait,,1929
,Alfred Ernest MacDonald,"JH Smairl, Esq, MA",,1929
,Alfred Ernest MacDonald,Mrs P Truman,,1929
/prizes/archibald/1929/17393/,W B McInnes,"Sir Willliam Irvine, KCMG",,1929
,W B McInnes,"Mr Frank Tate, CMG, MA",,1929
,W B McInnes,Betty,,1929
,W B McInnes,Miss Swinburne,,1929
,W B McInnes,Miss Wales,,1929
,W B McInnes,Ven Archdeacon Hindley,,1929
,Florence Mofflin,"GVF Mann, Esq, CBE",,1929
,Florence Mofflin,"Norman Fortescue Perston, Esq",,1929
,Florence Mofflin,"Charles Henderson, Esq",,1929
,Percival James Norton,Miss Leila Waring,,1929
,Constance Paul,Miss Pam Gordon,,1929
,Constance Paul,"Walter Burley Griffin, Esq",,1929
,Oswald Paul,Miss Dulcie Deamer,,1929
,Oswald Paul,Mrs Dorothy Ellsmore Paul,,1929
,Jessie M Prigg,Miss A Murray,,1929
,May Prince,Mrs PE Coleman,,1929
,May Prince,Miss K Britten,,1929
,Reginald G Russom,Henry Lawson,,1929
