FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Danie Mellor,Danie Mellor,https://www.austlit.edu.au/austlit/page/8839828,Danie Mellor,https://www.austlit.edu.au/austlit/page/8839828,Mellor,TRUE,Danie Mellor,https://www.austlit.edu.au/austlit/page/8839828,Exact match,Mellor,Mellor
Wallankarri Tjakamarra Mick,No Result Found,,No Result Found,,Mick,TRUE,No Result Found,,No match,Found,Found
Patrick Milligan,Desmond Patrick Bryan Milligan,https://www.austlit.edu.au/austlit/page/A134825,Desmond Patrick Bryan Milligan,https://www.austlit.edu.au/austlit/page/A134825,Milligan,TRUE,Desmond Patrick Bryan Milligan,https://www.austlit.edu.au/austlit/page/A134825,Exact match,Milligan,Milligan
Milan Milojevic,No Result Found,,No Result Found,,Milojevic,TRUE,No Result Found,,No match,Found,Found
Tracey Moffat,Marcia Langton,https://www.austlit.edu.au/austlit/page/A71890,Penny McDonald,https://www.austlit.edu.au/austlit/page/A106376,Moffat,TRUE,,,"No match, but related record",Langton,McDonald
Milton Moon,Milton Moon,https://www.austlit.edu.au/austlit/page/A132149,Milton Moon,https://www.austlit.edu.au/austlit/page/A132149,Moon,TRUE,Milton Moon,https://www.austlit.edu.au/austlit/page/A132149,Exact match,Moon,Moon
Archie Moore,Archie Moore,https://www.austlit.edu.au/austlit/page/8905493,Archie Moore,https://www.austlit.edu.au/austlit/page/8905493,Moore,TRUE,Archie Moore,https://www.austlit.edu.au/austlit/page/8905493,Exact match,Moore,Moore
Margaret Morgan,Margaret Morgan,https://www.austlit.edu.au/austlit/page/A13288,Margaret Morgan,https://www.austlit.edu.au/austlit/page/A13288,Morgan,TRUE,Margaret Morgan,https://www.austlit.edu.au/austlit/page/A13288,Exact match,Morgan,Morgan
Rufus Morris,Rufus Morris,https://www.austlit.edu.au/austlit/page/A47140,Rufus Morris,https://www.austlit.edu.au/austlit/page/A47140,Morris,TRUE,Rufus Morris,https://www.austlit.edu.au/austlit/page/A47140,Exact match,Morris,Morris
Bridget Napanangka Mudjidell,No Result Found,,No Result Found,,Mudjidell,TRUE,No Result Found,,No match,Found,Found
Ron Muncaster,No Result Found,,No Result Found,,Muncaster,TRUE,No Result Found,,No match,Found,Found
Arthur James Murch,No Result Found,,No Result Found,,Murch,TRUE,No Result Found,,No match,Found,Found
Katy Mutton,No Result Found,,No Result Found,,Mutton,TRUE,No Result Found,,No match,Found,Found
Clinton Nain,Clinton Nain,https://www.austlit.edu.au/austlit/page/A115489,Clinton Nain,https://www.austlit.edu.au/austlit/page/A115489,Nain,TRUE,Clinton Nain,https://www.austlit.edu.au/austlit/page/A115489,Exact match,Nain,Nain
Willy Nakanbala,No Result Found,,No Result Found,,Nakanbala,TRUE,No Result Found,,No match,Found,Found
Albert Namatjira,Albert Namatjira,https://www.austlit.edu.au/austlit/page/A60225,Albert Namatjira,https://www.austlit.edu.au/austlit/page/A60225,Namatjira,TRUE,Albert Namatjira,https://www.austlit.edu.au/austlit/page/A60225,Exact match,Namatjira,Namatjira
Rosella Namok,No Result Found,,No Result Found,,Namok,TRUE,No Result Found,,No match,Found,Found
Gladys Napanangka,No Result Found,,No Result Found,,Napanangka,TRUE,No Result Found,,No match,Found,Found
Maisie Napangardi,Kajingarra Napangardi,https://www.austlit.edu.au/austlit/page/A113286,Kajingarra Napangardi,https://www.austlit.edu.au/austlit/page/A113286,Napangardi,TRUE,Kajingarra Napangardi,https://www.austlit.edu.au/austlit/page/A113286,"No match, but related record",Napangardi,Napangardi
Pansy Napangati,Margo Stanislawska-Birnberg,https://www.austlit.edu.au/austlit/page/A1393,No Result Found,,Napangati,TRUE,,,"No match, but related record",Stanislawska-Birnberg,Found
Lorna Napurrula,Yulyurlu Lorna Fencer Napurrula,https://www.austlit.edu.au/austlit/page/11980600,Yulyurlu Lorna Fencer Napurrula,https://www.austlit.edu.au/austlit/page/11980600,Napurrula,TRUE,Yulyurlu Lorna Fencer Napurrula,https://www.austlit.edu.au/austlit/page/11980600,Exact match,Napurrula,Napurrula
Molly Napurrula,No Result Found,,No Result Found,,Napurrula,TRUE,No Result Found,,No match,Found,Found
Dell Claire Nash,No Result Found,,No Result Found,,Nash,TRUE,No Result Found,,No match,Found,Found
nan Nell,Patrick V. Ryan,https://www.austlit.edu.au/austlit/page/A127272,Cheer-Oh Girls,https://www.austlit.edu.au/austlit/page/8236161,Nell,TRUE,,,"No match, but related record",Ryan,Girls
Paddy Jupurrurla Nelson,Paddy Jupurrurla Nelson,https://www.austlit.edu.au/austlit/page/A122914,Paddy Jupurrurla Nelson,https://www.austlit.edu.au/austlit/page/A122914,Nelson,TRUE,Paddy Jupurrurla Nelson,https://www.austlit.edu.au/austlit/page/A122914,Exact match,Nelson,Nelson
Frank Bronson Jakamarra Nelson,No Result Found,,No Result Found,,Nelson,TRUE,No Result Found,,No match,Found,Found
Michael Jagamara Nelson,Kirstie Parker,https://www.austlit.edu.au/austlit/page/A64925,No Result Found,,Nelson,TRUE,,,"No match, but related record",Parker,Found
Simeon Nelson,David Batty,https://www.austlit.edu.au/austlit/page/A130357,No Result Found,,Nelson,TRUE,,,"No match, but related record",Batty,Found
Vanila Netto,No Result Found,,No Result Found,,Netto,TRUE,No Result Found,,No match,Found,Found
Ann Foster Newmarch,No Result Found,,No Result Found,,Newmarch,TRUE,No Result Found,,No match,Found,Found
Helmut Newton,Helmut Newton,https://www.austlit.edu.au/austlit/page/A79450,Helmut Newton,https://www.austlit.edu.au/austlit/page/A79450,Newton,TRUE,Helmut Newton,https://www.austlit.edu.au/austlit/page/A79450,Exact match,Newton,Newton
Mandy Nicholson,Mandy Nicholson,https://www.austlit.edu.au/austlit/page/15395708,Mandy Nicholson,https://www.austlit.edu.au/austlit/page/15395708,Nicholson,TRUE,Mandy Nicholson,https://www.austlit.edu.au/austlit/page/15395708,Exact match,Nicholson,Nicholson
Trevor Nickolls,Trevor Nickolls,https://www.austlit.edu.au/austlit/page/A110248,Trevor Nickolls,https://www.austlit.edu.au/austlit/page/A110248,Nickolls,TRUE,Trevor Nickolls,https://www.austlit.edu.au/austlit/page/A110248,Exact match,Nickolls,Nickolls
John Nixon,A. G. Hales,https://www.austlit.edu.au/austlit/page/A3999,Jack Thompson,https://www.austlit.edu.au/austlit/page/A61071,Nixon,TRUE,,,"No match, but related record",Hales,Thompson
Roger Noakes,No Result Found,,No Result Found,,Noakes,TRUE,No Result Found,,No match,Found,Found
Sidney Nolan,Sidney Nolan,https://www.austlit.edu.au/austlit/page/A22981,Sidney Nolan,https://www.austlit.edu.au/austlit/page/A22981,Nolan,TRUE,Sidney Nolan,https://www.austlit.edu.au/austlit/page/A22981,Exact match,Nolan,Nolan
Dinny Tjampitjinpa Nolan,Dinny Nolan Jambijimba,https://www.austlit.edu.au/austlit/page/A122565,Dinny Nolan Jambijimba,https://www.austlit.edu.au/austlit/page/A122565,Nolan,TRUE,Dinny Nolan Jambijimba,https://www.austlit.edu.au/austlit/page/A122565,Exact match,Jambijimba,Jambijimba
Dennis Nona,Dennis Nona,https://www.austlit.edu.au/austlit/page/A70582,Dennis Nona,https://www.austlit.edu.au/austlit/page/A70582,Nona,TRUE,Dennis Nona,https://www.austlit.edu.au/austlit/page/A70582,Exact match,Nona,Nona
Mary Norrie,Burton Graham,https://www.austlit.edu.au/austlit/page/A17558,Barbara Lilek,https://www.austlit.edu.au/austlit/page/A16020,Norrie,TRUE,,,"No match, but related record",Graham,Lilek
Susan Norrie,Helen Carroll,https://www.austlit.edu.au/austlit/page/A153742,No Result Found,,Norrie,TRUE,,,"No match, but related record",Carroll,Found
Muntja Nungurrayai,No Result Found,,No Result Found,,Nungurrayai,TRUE,No Result Found,,No match,Found,Found
Justin O'Brien,Justin O'Brien,https://www.austlit.edu.au/austlit/page/A141766,Justin O'Brien,https://www.austlit.edu.au/austlit/page/A141766,O'Brien,TRUE,Justin O'Brien,https://www.austlit.edu.au/austlit/page/A141766,Exact match,O'Brien,O'Brien
Mel O'Callaghan,No Result Found,,No Result Found,,O'Callaghan,TRUE,No Result Found,,No match,Found,Found
Chris O'Doherty,Chris O'Doherty,https://www.austlit.edu.au/austlit/page/A120603,Chris O'Doherty,https://www.austlit.edu.au/austlit/page/A120603,O'Doherty,TRUE,Chris O'Doherty,https://www.austlit.edu.au/austlit/page/A120603,Exact match,O'Doherty,O'Doherty
Helen Elizabeth Ogilvie,Reg Watson,https://www.austlit.edu.au/austlit/page/A116444,No Result Found,,Ogilvie,TRUE,,,"No match, but related record",Watson,Found
John Olday,No Result Found,,No Result Found,,Olday,TRUE,No Result Found,,No match,Found,Found
David Jupurrurla Oldfield,No Result Found,,No Result Found,,Oldfield,TRUE,No Result Found,,No match,Found,Found
Alan Oldfield,Alan Oldfield,https://www.austlit.edu.au/austlit/page/A139189,Alan Oldfield,https://www.austlit.edu.au/austlit/page/A139189,Oldfield,TRUE,Alan Oldfield,https://www.austlit.edu.au/austlit/page/A139189,Exact match,Oldfield,Oldfield
Margaret Olley,Margaret Olley,https://www.austlit.edu.au/austlit/page/A61472,Margaret Olley,https://www.austlit.edu.au/austlit/page/A61472,Olley,TRUE,Margaret Olley,https://www.austlit.edu.au/austlit/page/A61472,Exact match,Olley,Olley
Patrick Tjungurrayai Olodoodi,No Result Found,,No Result Found,,Olodoodi,TRUE,No Result Found,,No match,Found,Found
John Olsen,John Olsen,https://www.austlit.edu.au/austlit/page/A3132,John Olsen,https://www.austlit.edu.au/austlit/page/A3132,Olsen,TRUE,John Olsen,https://www.austlit.edu.au/austlit/page/A3132,Exact match,Olsen,Olsen
Bill Onus,William Onus,https://www.austlit.edu.au/austlit/page/23287778,William Onus,https://www.austlit.edu.au/austlit/page/23287778,Onus,TRUE,William Onus,https://www.austlit.edu.au/austlit/page/23287778,Exact match,Onus,Onus
Lin Onus,Lin Onus,https://www.austlit.edu.au/austlit/page/A80801,Lin Onus,https://www.austlit.edu.au/austlit/page/A80801,Onus,TRUE,Lin Onus,https://www.austlit.edu.au/austlit/page/A80801,Exact match,Onus,Onus
Deborah Paauwe,Peter Goldsworthy,https://www.austlit.edu.au/austlit/page/A22244,No Result Found,,Paauwe,TRUE,,,"No match, but related record",Goldsworthy,Found
Ewa Pachucka,No Result Found,,No Result Found,,Pachucka,TRUE,No Result Found,,No match,Found,Found
Ethleen Mary Palmer,No Result Found,,No Result Found,,Palmer,TRUE,No Result Found,,No match,Found,Found
Polixeni Papapetrou,Polixeni Papapetrou,https://www.austlit.edu.au/austlit/page/A57703,Polixeni Papapetrou,https://www.austlit.edu.au/austlit/page/A57703,Papapetrou,TRUE,Polixeni Papapetrou,https://www.austlit.edu.au/austlit/page/A57703,Exact match,Papapetrou,Papapetrou
Wendy Paramor,No Result Found,,No Result Found,,Paramor,TRUE,No Result Found,,No match,Found,Found
Frances Belle Parker,Patricia Clarke,https://www.austlit.edu.au/austlit/page/A11460,No Result Found,,Parker,TRUE,,,"No match, but related record",Clarke,Found
Mike Parr,Mike Parr,https://www.austlit.edu.au/austlit/page/A21177,Mike Parr,https://www.austlit.edu.au/austlit/page/A21177,Parr,TRUE,Mike Parr,https://www.austlit.edu.au/austlit/page/A21177,Exact match,Parr,Parr
Paul Partos,Greg Haddrick,https://www.austlit.edu.au/austlit/page/A57677,No Result Found,,Partos,TRUE,,,"No match, but related record",Haddrick,Found
John Passmore,John Passmore,https://www.austlit.edu.au/austlit/page/A94659,John Passmore,https://www.austlit.edu.au/austlit/page/A94659,Passmore,TRUE,John Passmore,https://www.austlit.edu.au/austlit/page/A94659,Exact match,Passmore,Passmore
Freddy Jangala Patrick,No Result Found,,No Result Found,,Patrick,TRUE,No Result Found,,No match,Found,Found
Myra Nungarrayi Patrick,Myra Nungarrayi Patrick,https://www.austlit.edu.au/austlit/page/9036286,Myra Nungarrayi Patrick,https://www.austlit.edu.au/austlit/page/9036286,Patrick,TRUE,Myra Nungarrayi Patrick,https://www.austlit.edu.au/austlit/page/9036286,Exact match,Patrick,Patrick
Patricia Payne,Patricia Payne,https://www.austlit.edu.au/austlit/page/A143587,Patricia Payne,https://www.austlit.edu.au/austlit/page/A143587,Payne,TRUE,Patricia Payne,https://www.austlit.edu.au/austlit/page/A143587,Exact match,Payne,Payne
Timmy Tjapangati Payungka,No Result Found,,No Result Found,,Payungka,TRUE,No Result Found,,No match,Found,Found
John Peart,Christopher Lee,https://www.austlit.edu.au/austlit/page/A35791,No Result Found,,Peart,TRUE,,,"No match, but related record",Lee,Found
John Perceval,John Perceval,https://www.austlit.edu.au/austlit/page/A61224,John Perceval,https://www.austlit.edu.au/austlit/page/A61224,Perceval,TRUE,John Perceval,https://www.austlit.edu.au/austlit/page/A61224,Exact match,Perceval,Perceval
Kathleen Petyarre,Christine Nicholls,https://www.austlit.edu.au/austlit/page/A66178,Kathleen Petyarre,https://www.austlit.edu.au/austlit/page/15296209,Petyarre,TRUE,Kathleen Petyarre,https://www.austlit.edu.au/austlit/page/15296209,Exact match,Nicholls,Petyarre
Gloria Petyarre,Margo Stanislawska-Birnberg,https://www.austlit.edu.au/austlit/page/A1393,No Result Found,,Petyarre,TRUE,,,"No match, but related record",Stanislawska-Birnberg,Found
Debra Phillips,Debra Phillips,https://www.austlit.edu.au/austlit/page/11180222,Debra Phillips,https://www.austlit.edu.au/austlit/page/11180222,Phillips,TRUE,Debra Phillips,https://www.austlit.edu.au/austlit/page/11180222,Exact match,Phillips,Phillips
Long Jack Tjakamarra Phillipus,Long Jack,https://www.austlit.edu.au/austlit/page/A113812,Long Jack,https://www.austlit.edu.au/austlit/page/A113812,Phillipus,TRUE,Long Jack,https://www.austlit.edu.au/austlit/page/A113812,Exact match,Jack,Jack
