FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Peter Tully,Peter Kellett,https://www.austlit.edu.au/austlit/page/A146026,Robbie Matthews,https://www.austlit.edu.au/austlit/page/A69110,Tully,TRUE,,,"No match, but related record",Kellett,Matthews
Ken Unsworth,Margaret Bradstock,https://www.austlit.edu.au/austlit/page/A20817,No Result Found,,Unsworth,TRUE,,,"No match, but related record",Bradstock,Found
Rosemary Valadon,No Result Found,,No Result Found,,Valadon,TRUE,No Result Found,,No match,Found,Found
Hossein Valamanesh,Mary Knights,https://www.austlit.edu.au/austlit/page/A148819,Hossein Valamanesh,https://www.austlit.edu.au/austlit/page/A148822,Valamanesh,TRUE,Hossein Valamanesh,https://www.austlit.edu.au/austlit/page/A148822,Exact match,Knights,Valamanesh
Angela Valamanesh,Cath Kenneally,https://www.austlit.edu.au/austlit/page/A33162,Angela Valamanesh,https://www.austlit.edu.au/austlit/page/A128257,Valamanesh,TRUE,Angela Valamanesh,https://www.austlit.edu.au/austlit/page/A128257,Exact match,Kenneally,Valamanesh
Vicki Varvaressos,No Result Found,,No Result Found,,Varvaressos,TRUE,No Result Found,,No match,Found,Found
Rose Vickers,Alan Vickers,https://www.austlit.edu.au/austlit/page/A47981,No Result Found,,Vickers,TRUE,Alan Vickers,https://www.austlit.edu.au/austlit/page/A47981,"No match, but related record",Vickers,Found
Savanhdary Vongpoothorn,Sanhdary Vongpoothorn,https://www.austlit.edu.au/austlit/page/6813802,Sanhdary Vongpoothorn,https://www.austlit.edu.au/austlit/page/6813802,Vongpoothorn,TRUE,Sanhdary Vongpoothorn,https://www.austlit.edu.au/austlit/page/6813802,Exact match,Vongpoothorn,Vongpoothorn
Paddy Fordham Wainburranga,Paddy Fordham Wainburranga,https://www.austlit.edu.au/austlit/page/A106374,Paddy Fordham Wainburranga,https://www.austlit.edu.au/austlit/page/A106374,Wainburranga,TRUE,Paddy Fordham Wainburranga,https://www.austlit.edu.au/austlit/page/A106374,Exact match,Wainburranga,Wainburranga
Ralph Trafford Walker,No Result Found,,No Result Found,,Walker,TRUE,No Result Found,,No match,Found,Found
Edith Wall,Barbara Barnes,https://www.austlit.edu.au/austlit/page/A112648,Barbara Barnes,https://www.austlit.edu.au/austlit/page/A112648,Wall,TRUE,Barbara Barnes,https://www.austlit.edu.au/austlit/page/A112648,"No match, but related record",Barnes,Barnes
Ruth Waller,Ruth Waller,https://www.austlit.edu.au/austlit/page/A71578,Ruth Waller,https://www.austlit.edu.au/austlit/page/A71578,Waller,TRUE,Ruth Waller,https://www.austlit.edu.au/austlit/page/A71578,Exact match,Waller,Waller
Fred Tjungurrayi Ward,No Result Found,,No Result Found,,Ward,TRUE,No Result Found,,No match,Found,Found
Tjapaltjarri Warlimpirrnga,No Result Found,,No Result Found,,Warlimpirrnga,TRUE,No Result Found,,No match,Found,Found
Dick Watkins,Carl Lyon,https://www.austlit.edu.au/austlit/page/A43044,Carl Lyon,https://www.austlit.edu.au/austlit/page/A43044,Watkins,TRUE,Carl Lyon,https://www.austlit.edu.au/austlit/page/A43044,"No match, but related record",Lyon,Lyon
Maggie Napangardi Watson,No Result Found,,No Result Found,,Watson,TRUE,No Result Found,,No match,Found,Found
Tommy Watson,Cameron Nugent,https://www.austlit.edu.au/austlit/page/20715363,No Result Found,,Watson,TRUE,,,"No match, but related record",Nugent,Found
Judy Watson,Judy Watson,https://www.austlit.edu.au/austlit/page/A129259,Judy Watson,https://www.austlit.edu.au/austlit/page/A129259,Watson,TRUE,Judy Watson,https://www.austlit.edu.au/austlit/page/A129259,Exact match,Watson,Watson
Gordon Watt,David Campbell,https://www.austlit.edu.au/austlit/page/A16125,David Campbell,https://www.austlit.edu.au/austlit/page/A16125,Watt,TRUE,David Campbell,https://www.austlit.edu.au/austlit/page/A16125,"No match, but related record",Campbell,Campbell
H. J. Wedge,Harry Wedge,https://www.austlit.edu.au/austlit/page/A115907,Harry Wedge,https://www.austlit.edu.au/austlit/page/A115907,Wedge,TRUE,Harry Wedge,https://www.austlit.edu.au/austlit/page/A115907,Exact match,Wedge,Wedge
Trevor Weekes,Trevor Weekes,https://www.austlit.edu.au/austlit/page/A68207,Trevor Weekes,https://www.austlit.edu.au/austlit/page/A68207,Weekes,TRUE,Trevor Weekes,https://www.austlit.edu.au/austlit/page/A68207,Exact match,Weekes,Weekes
Guan Wei,Emma Thompson,https://www.austlit.edu.au/austlit/page/20998784,No Result Found,,Wei,TRUE,,,"No match, but related record",Thompson,Found
Freddy Tjakamarra West,Leslie A. Schubert,https://www.austlit.edu.au/austlit/page/A14707,Long Jack,https://www.austlit.edu.au/austlit/page/A113812,West,TRUE,,,"No match, but related record",Schubert,Jack
Maggie Napanangka White,No Result Found,,No Result Found,,White,TRUE,No Result Found,,No match,Found,Found
Frank Whitmore,Frank Dalby Davison,https://www.austlit.edu.au/austlit/page/A36657,No Result Found,,Whitmore,TRUE,,,"No match, but related record",Davison,Found
Ben Wickham,Arthur W. Upfield,https://www.austlit.edu.au/austlit/page/A20562,No Result Found,,Wickham,TRUE,,,"No match, but related record",Upfield,Found
Cathy Wilcox,Cathy Wilcox,https://www.austlit.edu.au/austlit/page/A50588,Cathy Wilcox,https://www.austlit.edu.au/austlit/page/A50588,Wilcox,TRUE,Cathy Wilcox,https://www.austlit.edu.au/austlit/page/A50588,Exact match,Wilcox,Wilcox
Fred Williams,Fred Williams,https://www.austlit.edu.au/austlit/page/A60792,Fred Williams,https://www.austlit.edu.au/austlit/page/A60792,Williams,TRUE,Fred Williams,https://www.austlit.edu.au/austlit/page/A60792,Exact match,Williams,Williams
Liz Williamson,David Williamson,https://www.austlit.edu.au/austlit/page/A21523,No Result Found,,Williamson,TRUE,David Williamson,https://www.austlit.edu.au/austlit/page/A21523,"No match, but related record",Williamson,Found
David  Wilson,David Wilson,https://www.austlit.edu.au/austlit/page/A114638,David Wilson,https://www.austlit.edu.au/austlit/page/A114638,Wilson,TRUE,David Wilson,https://www.austlit.edu.au/austlit/page/A114638,Exact match,Wilson,Wilson
Regina Pilawuk Wilson,Regina Pilawuk Wilson,https://www.austlit.edu.au/austlit/page/9118739,Regina Pilawuk Wilson,https://www.austlit.edu.au/austlit/page/9118739,Wilson,TRUE,Regina Pilawuk Wilson,https://www.austlit.edu.au/austlit/page/9118739,Exact match,Wilson,Wilson
Philip Wolfhagen,No Result Found,,No Result Found,,Wolfhagen,TRUE,No Result Found,,No match,Found,Found
John Wolseley,John Wolseley,https://www.austlit.edu.au/austlit/page/A61236,John Wolseley,https://www.austlit.edu.au/austlit/page/A61236,Wolseley,TRUE,John Wolseley,https://www.austlit.edu.au/austlit/page/A61236,Exact match,Wolseley,Wolseley
Margaret Worth,Melanie Milburne,https://www.austlit.edu.au/austlit/page/A98976,Olaf Ruhen,https://www.austlit.edu.au/austlit/page/A9987,Worth,TRUE,,,"No match, but related record",Milburne,Ruhen
Lucy Napanangka Yukenbarri,No Result Found,,No Result Found,,Yukenbarri,TRUE,No Result Found,,No match,Found,Found
Roderick Yunkaporta,No Result Found,,No Result Found,,Yunkaporta,TRUE,No Result Found,,No match,Found,Found
Anne Zahalka,Anne Zahalka,https://www.austlit.edu.au/austlit/page/11632398,Anne Zahalka,https://www.austlit.edu.au/austlit/page/11632398,Zahalka,TRUE,Anne Zahalka,https://www.austlit.edu.au/austlit/page/11632398,Exact match,Zahalka,Zahalka
